Source,Target,Line Name,Flows
Chiswick Park,Acton Town,District,4135
Acton Town,Ealing Common,District,14215
Acton Town,Ealing Common,Piccadilly,7052
Acton Town,South Ealing,Piccadilly,16354
Ealing Common,North Ealing,Piccadilly,8311
Wimbledon,Wimbledon Park,District,7073
Wimbledon Park,Southfields,District,7967
Southfields,East Putney,District,11542
East Putney,Putney Bridge,District,15704
Putney Bridge,Parsons Green,District,17691
Parsons Green,Fulham Broadway,District,20784
Bow Road,Bromley-by-Bow,District,28326
Bow Road,Bromley-by-Bow,Hammersmith & City,0
Plaistow,Upton Park,District,25948
Plaistow,Upton Park,Hammersmith & City,0
Upton Park,East Ham,District,21100
Upton Park,East Ham,Hammersmith & City,0
Upney,Becontree,District,11614
Becontree,Dagenham Heathway,District,9674
Dagenham Heathway,Dagenham East,District,6701
Dagenham East,Elm Park,District,5030
Elm Park,Hornchurch,District,2587
Hornchurch,Upminster Bridge,District,1133
South Ealing,Northfields,Piccadilly,14644
Knightsbridge,Hyde Park Corner,Piccadilly,15174
Caledonian Road,Holloway Road,Piccadilly,49123
Holloway Road,Arsenal,Piccadilly,46891
Manor House,Turnpike Lane,Piccadilly,25208
Turnpike Lane,Wood Green,Piccadilly,19048
Wood Green,Bounds Green,Piccadilly,13143
Bounds Green,Arnos Grove,Piccadilly,8934
Arnos Grove,Southgate,Piccadilly,6187
Southgate,Oakwood,Piccadilly,2739
Oakwood,Cockfosters,Piccadilly,1000
South Harrow,Sudbury Hill,Piccadilly,4847
Sudbury Hill,Sudbury Town,Piccadilly,5864
Sudbury Town,Alperton,Piccadilly,7081
Alperton,Park Royal,Piccadilly,8189
Park Royal,North Ealing,Piccadilly,8090
Heathrow Terminal 4,Hatton Cross,Piccadilly,609
Heathrow Terminal 4,Heathrow Terminals 2 & 3,Piccadilly,108
Hatton Cross,Heathrow Terminals 2 & 3,Piccadilly,2907
Hatton Cross,Hounslow West,Piccadilly,4636
Heathrow Terminals 2 & 3,Heathrow Terminal 5,Piccadilly,938
Hounslow West,Hounslow Central,Piccadilly,6459
Hounslow Central,Hounslow East,Piccadilly,8329
Hounslow East,Osterley,Piccadilly,10227
Osterley,Boston Manor,Piccadilly,11432
Boston Manor,Northfields,Piccadilly,12153
Stratford High Street,Abbey Road,DLR,1170
Royal Victoria,Custom House,DLR,4778
Limehouse,Westferry,DLR,24698
Westferry,West India Quay,DLR,13533
Westferry,Poplar,DLR,6640
West India Quay,Poplar,DLR,4326
Heron Quays,South Quay,DLR,16515
South Quay,Crossharbour,DLR,16186
Crossharbour,Mudchute,DLR,15097
Mudchute,Island Gardens,DLR,13977
Island Gardens,Cutty Sark,DLR,13013
Cutty Sark,Greenwich,DLR,11352
Greenwich,Deptford Bridge,DLR,10867
Deptford Bridge,Elverson Road,DLR,8867
Elverson Road,Lewisham,DLR,7868
Poplar,All Saints,DLR,4607
Poplar,Blackwall,DLR,7382
All Saints,Langdon Park,DLR,24328
Blackwall,East India,DLR,7106
Custom House,Prince Regent,DLR,4062
Prince Regent,Royal Albert,DLR,3198
Royal Albert,Beckton Park,DLR,2591
Beckton Park,Cyprus,DLR,2303
Cyprus,Gallions Reach,DLR,1809
Gallions Reach,Beckton,DLR,1179
Langdon Park,Devons Road,DLR,4537
Devons Road,Bow Church,DLR,4888
Bow Church,Pudding Mill Lane,DLR,4552
Woolwich Arsenal,King George V,DLR,7892
King George V,London City Airport,DLR,8459
West Silvertown,Pontoon Dock,DLR,11677
Pontoon Dock,London City Airport,DLR,9968
Kilburn Park,Maida Vale,Bakerloo,7832
Maida Vale,Warwick Avenue,Bakerloo,9582
